,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
136,0.4654553413391113,0.03081731028416883,0.012810420989990235,0.002207092095720579,10,log2,1,2,200,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.7653631284916201,0.8033707865168539,0.8033707865168539,0.8146067415730337,0.8314606741573034,0.8036344234511329,0.021723365393396605,152
137,0.6378364562988281,0.039827808236544755,0.019610261917114256,0.003884676144567978,10,log2,1,2,300,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.776536312849162,0.8033707865168539,0.797752808988764,0.8202247191011236,0.8314606741573034,0.8058690603226413,0.018939591440645904,142
138,0.22352566719055175,0.01804032181603135,0.006573104858398437,0.0017234043055117723,10,log2,1,5,100,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.776536312849162,0.8089887640449438,0.8089887640449438,0.8258426966292135,0.8370786516853933,0.8114870378507314,0.020469741374914165,75
139,0.42276430130004883,0.026218637784514415,0.011008024215698242,0.001652858764421327,10,log2,1,5,200,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.7597765363128491,0.8146067415730337,0.8089887640449438,0.8089887640449438,0.8370786516853933,0.8058878915322328,0.02527595602866215,139
140,0.6054238319396973,0.044365781528124024,0.015010833740234375,0.00199333937472332,10,log2,1,5,300,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.7653631284916201,0.8089887640449438,0.8146067415730337,0.8258426966292135,0.8426966292134831,0.8114995919904588,0.02578182182024062,68
141,0.17243309020996095,0.01319816696999473,0.004968166351318359,0.0012675490785586543,10,log2,1,10,100,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.770949720670391,0.8146067415730337,0.8089887640449438,0.8089887640449438,0.8314606741573034,0.8069989328981231,0.019817770290781515,136
142,0.39402079582214355,0.039571913225411454,0.010579538345336915,0.0010406529186698767,10,log2,1,10,200,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.776536312849162,0.8146067415730337,0.8033707865168539,0.8258426966292135,0.8314606741573034,0.8103634423451134,0.01947243188271633,90
143,0.6087649822235107,0.05608533571249951,0.014188051223754883,0.0007345669999285412,10,log2,1,10,300,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.7821229050279329,0.8146067415730337,0.8089887640449438,0.8202247191011236,0.8370786516853933,0.8126043562864854,0.017906769611630777,58
144,0.1795741081237793,0.02187926836617517,0.006231117248535156,0.0018881333326781762,10,log2,2,2,100,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7541899441340782,0.8146067415730337,0.8146067415730337,0.8089887640449438,0.8426966292134831,0.8070177641077144,0.028923450613968442,126
145,0.33882966041564944,0.011737100019775407,0.009769248962402343,0.001597669226499654,10,log2,2,2,200,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.776536312849162,0.8089887640449438,0.8089887640449438,0.8258426966292135,0.8370786516853933,0.8114870378507314,0.020469741374914165,75
